Zip Code,Neighborhood
19102,Rittenhouse Square
19105,Center City
19108,Callowhill
19110,Rittenhouse Square
19102,Avenue of The Arts
19103,Logan Square
19103,Fitler Square
19129,East Falls
19130,Art Museum
19130,Francisville
19133,Fairhill
19133,North Philadelphia
19134,Port Richmond
19104,University City
19104,Belmont
19104,Parkside
19104,Powelton Village
19106,Society Hill
19106,Old City
19107,Washington Square West
19107,Midtown Village
19107,Chinatown
19111,Lawndale
19111,Castor Gardens
19112,Navy Yard
19114,Torresdale
19115,Somerton
19116,Bustleton
19118,Chestnut Hill
19119,Mount Airy
19120,Logan
19120,Olney
19120,Feltonville
19121,Brewerytown
19122,Yorktown
19122,Old Kensington
19122,Jinogi
19123,Northern Liberties
19123,Loft District
19124,Juniata
19124,Frankford
19124,Feltonville
19125,Fishtown
19125,Kensington
19126,Oak Lane
19127,Manayunk
19128,Roxborough
19131,Wynnefield
19132,Strawberry Mansion
19135,Tacony
19136,Holmesburg
19137,Bridesburg
19138,West Oak Lane
19139,Walnut Hill/West
19140,Hunting Park
19141,Logan
19142,Elmwood
19142,Southwest Philadelphia
19143,University City
19144,Germantown
19145,Passyunk
19146,Graduate Hospital
19146,Naval Square
19146,Southwest Center City
19147,Queen Village
19147,Bella Vista
19147,Pennsport
19147,Italian Market
19148,Whitman
19148,Pennsport
19148,South Philadelphia
19149,Frankford
19149,Mayfair
19150,Cedarbrook
19151,Overbrook
19151,Overbrook Farms
19151,Overbrook Park
19152,Rhawnhurst
19153,Eastwick
19154,Parkwood
19154,Byberry
